wind_farm,fac_id,deliv,prov
50,"(2, 3) BC",0.0,BC
50,"(3, 1) BC",0.0,BC
50,"(3, 2) BC",0.0,BC
50,"(3, 3) BC",1.0,BC
50,"(4, 1) BC",0.0,BC
50,"(4, 2) BC",0.0,BC
50,"(4, 3) BC",0.0,BC
51,"(1, 1) BC",0.0,BC
51,"(1, 2) BC",0.0,BC
51,"(1, 3) BC",0.0,BC
51,"(2, 1) BC",0.0,BC
51,"(2, 2) BC",0.0,BC
51,"(2, 3) BC",1.0,BC
51,"(3, 1) BC",0.0,BC
51,"(3, 2) BC",0.0,BC
51,"(3, 3) BC",0.0,BC
51,"(4, 1) BC",0.0,BC
51,"(4, 2) BC",0.0,BC
51,"(4, 3) BC",0.0,BC
52,"(1, 1) MB",0.0,MB
52,"(1, 2) MB",0.0,MB
52,"(1, 3) MB",1.0,MB
52,"(2, 1) MB",0.0,MB
52,"(2, 2) MB",0.0,MB
52,"(2, 3) MB",0.0,MB
52,"(3, 1) MB",0.0,MB
52,"(3, 2) MB",0.0,MB
52,"(3, 3) MB",0.0,MB
52,"(4, 1) MB",0.0,MB
52,"(4, 2) MB",0.0,MB
52,"(4, 3) MB",0.0,MB
53,"(1, 1) MB",0.0,MB
53,"(1, 2) MB",0.0,MB
53,"(1, 3) MB",1.0,MB
53,"(2, 1) MB",0.0,MB
53,"(2, 2) MB",0.0,MB
53,"(2, 3) MB",0.0,MB
53,"(3, 1) MB",0.0,MB
53,"(3, 2) MB",0.0,MB
53,"(3, 3) MB",0.0,MB
53,"(4, 1) MB",0.0,MB
53,"(4, 2) MB",0.0,MB
53,"(4, 3) MB",0.0,MB
54,"(1, 1) MB",0.0,MB
54,"(1, 2) MB",0.0,MB
54,"(1, 3) MB",1.0,MB
54,"(2, 1) MB",0.0,MB
54,"(2, 2) MB",0.0,MB
54,"(2, 3) MB",0.0,MB
54,"(3, 1) MB",0.0,MB
54,"(3, 2) MB",0.0,MB
54,"(3, 3) MB",0.0,MB
54,"(4, 1) MB",0.0,MB
54,"(4, 2) MB",0.0,MB
54,"(4, 3) MB",0.0,MB
55,"(1, 1) MB",0.0,MB
55,"(1, 2) MB",0.0,MB
55,"(1, 3) MB",1.0,MB
55,"(2, 1) MB",0.0,MB
55,"(2, 2) MB",0.0,MB
55,"(2, 3) MB",0.0,MB
55,"(3, 1) MB",0.0,MB
55,"(3, 2) MB",0.0,MB
55,"(3, 3) MB",0.0,MB
55,"(4, 1) MB",0.0,MB
55,"(4, 2) MB",0.0,MB
55,"(4, 3) MB",0.0,MB
56,"(1, 1) NB",0.0,NB
56,"(1, 2) NB",0.0,NB
56,"(1, 3) NB",0.0,NB
56,"(2, 1) NB",0.0,NB
56,"(2, 2) NB",0.0,NB
56,"(2, 3) NB",0.0,NB
56,"(3, 1) NB",0.0,NB
56,"(3, 2) NB",0.0,NB
56,"(3, 3) NB",0.0,NB
56,"(4, 1) NB",0.0,NB
56,"(4, 2) NB",0.0,NB
56,"(4, 3) NB",1.0,NB
57,"(1, 1) NB",0.0,NB
57,"(1, 2) NB",0.0,NB
57,"(1, 3) NB",0.0,NB
57,"(2, 1) NB",0.0,NB
57,"(2, 2) NB",0.0,NB
57,"(2, 3) NB",0.0,NB
57,"(3, 1) NB",0.0,NB
57,"(3, 2) NB",0.0,NB
57,"(3, 3) NB",0.0,NB
57,"(4, 1) NB",0.0,NB
57,"(4, 2) NB",0.0,NB
57,"(4, 3) NB",1.0,NB
58,"(1, 1) NB",0.0,NB
58,"(1, 2) NB",0.0,NB
58,"(1, 3) NB",0.0,NB
58,"(2, 1) NB",0.0,NB
58,"(2, 2) NB",0.0,NB
58,"(2, 3) NB",0.0,NB
58,"(3, 1) NB",0.0,NB
58,"(3, 2) NB",0.0,NB
58,"(3, 3) NB",0.0,NB
58,"(4, 1) NB",0.0,NB
58,"(4, 2) NB",0.0,NB
58,"(4, 3) NB",1.0,NB
59,"(1, 1) NB",0.0,NB
59,"(1, 2) NB",0.0,NB
59,"(1, 3) NB",0.0,NB
59,"(2, 1) NB",0.0,NB
59,"(2, 2) NB",0.0,NB
59,"(2, 3) NB",0.0,NB
